"Género","Municipio de Nacimiento","País","Municipio Dirección","Barrio Dirección","Estrato","Estado civil","EPS","Grupo Sisben","Zona","Nivel de formación","Ocupación","Medio de Transporte","Multiculturalidad","Estado","Fecha de Matrícula","Jornada","Programa","Período","Nivel","Edad"
"Femenino","Heliconia","Colombia","Envigado","El Dorado",,"Sin Respuesta","No Aplica","Sin respuesta",,"Sin respuesta",,"Sin respuesta","No aplica","Activo","2020-09-23T10:00:00Z","DIURNA","EXTENSIÓN HERRAMIENTAS TICS Y COMPETENCIAS COMPORTAMENTALES PARA EL TRABAJO REMOTO EN CASA","2020-2","SEMESTRE 1","61"
"Femenino","Medellín","Colombia","Envigado","La Sebastiana","3","Casado(a)","EPS Sura","Sin respuesta","Urbana","Media","Estudiante superior","Público Bus o Buseta","No aplica","Activo","2019-05-02T10:00:00Z","DIURNA","19T-TÉCNICO LABORAL EN GASTRONOMIA INTERNACIONAL","2020-2","SEMESTRE 2","35"
"Masculino","Montebello","Colombia","La Estrella","Sin respuesta","2","Unión libre","EPS Sura","Sin respuesta","Urbana","Media","Empleado","Sin respuesta","No aplica","Inactivo","2015-05-28T10:00:00Z","NOCHE","26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos)","2016-1","SEMESTRE 2","35"
"Femenino","Envigado","Colombia","Itagui","Santa María","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Sin respuesta","Estudiante básica","Público Bus o Buseta","No aplica","Inactivo","2021-08-25T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2021 - MT","NOVENO","16"
"Masculino","Medellín","Colombia","Medellín","San Lucas","6","Soltero(a)","Suramericana","N","Urbana","Media","Estudiante superior","Carro Particular","No aplica","Activo","2022-02-04T10:00:00Z","DIURNA","22T-TÉCNICO LABORAL EN MARKETING DIGITAL","2022-1","SEMESTRE 1","19"
"Femenino","Envigado","Colombia","Envigado","San José","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Sin respuesta","Empleado","A Pie","No aplica","Sin estado",,"NOCHE","04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos)",,,"27"
"Femenino","Envigado","Colombia","Envigado","Las Antillas","2","Soltero(a)","Salud Total EPS","A1","Urbana - rural","Sin respuesta","Estudiante básica","Público Bus o Buseta","No aplica","Inactivo","2021-09-09T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2021 - MT","NOVENO","16"
"Femenino","Medellín","Colombia","Envigado","Las Orquídeas","4","Unión libre","EPS Sura","D1","Urbana","Media","Independiente","Público Bus o Buseta","Cabeza de familia","Activo","2022-02-02T10:00:00Z","NOCHE","07T-TÉCNICO LABORAL EN ATENCION Y CUIDADO DE PERSONAS MAYORES","2022-1","SEMESTRE 1","51"
"Masculino","Medellín","Colombia","Medellín","Rosales","1","Soltero(a)","Nueva Promotora de Salud - Nueva EPS","Sin respuesta","Urbana","Media","Estudiante superior","Sin respuesta","No aplica","Cancelado","2016-07-18T10:00:00Z","NOCHE","26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos)","2017-1","SEMESTRE 2","28"
"Masculino","Envigado","Colombia","Envigado","Alto De Misael","2","Soltero(a)","EPS Sura","A3","Urbana","Básica secundaria","Estudiante básica","Carro Particular","No aplica","Inactivo","2020-07-25T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2020 - MT","NOVENO","18"
